,gene_symbols
ENSG00000000938,FGR
ENSG00000000971,CFH
ENSG00000002587,HS3ST1
ENSG00000002933,TMEM176A
ENSG00000003436,TFPI
ENSG00000004776,HSPB6
ENSG00000004799,PDK4
ENSG00000004838,ZMYND10
ENSG00000005448,WDR54
ENSG00000005844,ITGAL
ENSG00000006071,ABCC8
ENSG00000006210,CX3CL1
ENSG00000006327,TNFRSF12A
ENSG00000007038,PRSS21
ENSG00000007062,PROM1
ENSG00000007171,NOS2
ENSG00000007174,DNAH9
ENSG00000007264,MATK
ENSG00000007312,CD79B
ENSG00000007350,TKTL1
ENSG00000007908,SELE
ENSG00000007933,FMO3
ENSG00000008226,DLEC1
ENSG00000008394,MGST1
ENSG00000008517,IL32
ENSG00000008838,MED24
ENSG00000009790,TRAF3IP3
ENSG00000010319,SEMA3G
ENSG00000010327,STAB1
ENSG00000010626,LRRC23
ENSG00000010810,FYN
ENSG00000011422,PLAUR
ENSG00000011465,DCN
ENSG00000011590,ZBTB32
ENSG00000011600,TYROBP
ENSG00000012124,CD22
ENSG00000012171,SEMA3B
ENSG00000012223,LTF
ENSG00000012779,ALOX5
ENSG00000013588,GPRC5A
ENSG00000013725,CD6
ENSG00000015285,WAS
ENSG00000016602,CLCA4
ENSG00000017427,IGF1
ENSG00000018280,SLC11A1
ENSG00000019102,VSIG2
ENSG00000019169,MARCO
ENSG00000019186,CYP24A1
ENSG00000020633,RUNX3
ENSG00000022267,FHL1
ENSG00000023445,BIRC3
ENSG00000023902,PLEKHO1
ENSG00000025423,HSD17B6
ENSG00000026025,VIM
ENSG00000026751,SLAMF7
ENSG00000027075,PRKCH
ENSG00000027869,SH2D2A
ENSG00000028137,TNFRSF1B
ENSG00000028277,POU2F2
ENSG00000029559,IBSP
ENSG00000034053,APBA2
ENSG00000034239,EFCAB1
ENSG00000034971,MYOC
ENSG00000035664,DAPK2
ENSG00000035720,STAP1
ENSG00000038427,VCAN
ENSG00000038945,MSR1
ENSG00000039139,DNAH5
ENSG00000041982,TNC
ENSG00000042980,ADAM28
ENSG00000043462,LCP2
ENSG00000043591,ADRB1
ENSG00000046653,GPM6B
ENSG00000047457,CP
ENSG00000048462,TNFRSF17
ENSG00000049247,UTS2
ENSG00000049249,TNFRSF9
ENSG00000049323,LTBP1
ENSG00000049540,ELN
ENSG00000050165,DKK3
ENSG00000050730,TNIP3
ENSG00000052802,MSMO1
ENSG00000054654,SYNE2
ENSG00000055118,KCNH2
ENSG00000055163,CYFIP2
ENSG00000056558,TRAF1
ENSG00000057149,SERPINB3
ENSG00000057657,PRDM1
ENSG00000058085,LAMC2
ENSG00000059728,MXD1
ENSG00000059804,SLC2A3
ENSG00000064012,CASP8
ENSG00000064199,SPA17
ENSG00000064205,WISP2
ENSG00000064886,CHI3L2
ENSG00000064989,CALCRL
ENSG00000065054,SLC9A3R2
ENSG00000065413,ANKRD44
ENSG00000065534,MYLK
ENSG00000065618,COL17A1
ENSG00000065675,PRKCQ
ENSG00000066056,TIE1
ENSG00000066294,CD84
ENSG00000066336,SPI1
ENSG00000066405,CLDN18
ENSG00000067113,PLPP1
ENSG00000067715,SYT1
ENSG00000068001,HYAL2
ENSG00000068831,RASGRP2
ENSG00000069122,ADGRF5
ENSG00000069493,CLEC2D
ENSG00000069535,MAOB
ENSG00000069667,RORA
ENSG00000069702,TGFBR3
ENSG00000070031,SCT
ENSG00000070404,FSTL3
ENSG00000071073,MGAT4A
ENSG00000071282,LMCD1
ENSG00000071991,CDH19
ENSG00000072163,LIMS2
ENSG00000072694,FCGR2B
ENSG00000072786,STK10
ENSG00000072818,ACAP1
ENSG00000073712,FERMT2
ENSG00000073737,DHRS9
ENSG00000073756,PTGS2
ENSG00000073861,TBX21
ENSG00000074181,NOTCH3
ENSG00000074370,ATP2A3
ENSG00000074706,IPCEF1
ENSG00000074966,TXK
ENSG00000075618,FSCN1
ENSG00000075673,ATP12A
ENSG00000075884,ARHGAP15
ENSG00000076641,PAG1
ENSG00000076662,ICAM3
ENSG00000076706,MCAM
ENSG00000077327,SPAG6
ENSG00000077782,FGFR1
ENSG00000077942,FBLN1
ENSG00000077943,ITGA8
ENSG00000077984,CST7
ENSG00000078018,MAP2
ENSG00000078081,LAMP3
ENSG00000078401,EDN1
ENSG00000078589,P2RY10
ENSG00000078596,ITM2A
ENSG00000078898,BPIFB2
ENSG00000079102,RUNX1T1
ENSG00000079257,LXN
ENSG00000079689,SCGN
ENSG00000079931,MOXD1
ENSG00000079974,RABL2B
ENSG00000080298,RFX3
ENSG00000080823,MOK
ENSG00000081041,CXCL2
ENSG00000081059,TCF7
ENSG00000081189,MEF2C
ENSG00000081237,PTPRC
ENSG00000081320,STK17B
ENSG00000082074,FYB
ENSG00000083454,P2RX5
ENSG00000085265,FCN1
ENSG00000085514,PILRA
ENSG00000085563,ABCB1
ENSG00000086300,SNX10
ENSG00000086548,CEACAM6
ENSG00000086730,LAT2
ENSG00000087128,TMPRSS11E
ENSG00000087245,MMP2
ENSG00000087589,CASS4
ENSG00000088179,PTPN4
ENSG00000088727,KIF9
ENSG00000088992,TESC
ENSG00000089012,SIRPG
ENSG00000089199,CHGB
ENSG00000089327,FXYD5
ENSG00000089356,FXYD3
ENSG00000089692,LAG3
ENSG00000090006,LTBP4
ENSG00000090104,RGS1
ENSG00000090339,ICAM1
ENSG00000090382,LYZ
ENSG00000091137,SLC26A4
ENSG00000091409,ITGA6
ENSG00000091428,RAPGEF4
ENSG00000091879,ANGPT2
ENSG00000091972,CD200
